customer_id,customer_name,region,updated_at
1001,Ada Lovelace,West,2025-01-03 09:00:00
1001,Ada Lovelace,Central,2025-03-15 10:12:00
1001,Ada Lovelace,East,2025-06-01 14:30:00
1001,Ada Lovelace,West,2025-06-02 14:30:00
1001,Ada Lovelace,South,2025-06-03 14:30:00
1002,Grace Hopper,South,2025-01-05 08:45:00
1002,Grace Hopper,South,2025-02-10 12:00:00
1002,Grace Hopper,West,2025-04-22 16:05:00
1003,Katherine Johnson,East,2025-01-10 07:25:00
1003,Katherine Johnson,East,2025-03-02 11:00:00
1003,Katherine Johnson,Central,2025-05-19 09:40:00
1004,Mary Jackson,Central,2025-02-01 13:15:00
1004,Mary Jackson,North,2025-02-28 18:22:00
1004,Mary Jackson,North,2025-04-03 10:10:00
1004,Mary Jackson,West,2025-07-12 15:55:00
1005,Dorothy Vaughan,South,2025-01-12 08:00:00
1005,Dorothy Vaughan,South,2025-03-30 17:45:00
1005,Dorothy Vaughan,East,2025-06-18 06:35:00
